stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
132,22AV151S,NW 22 AV & 151 ST,NW 22 AV & NW 151 ST,25.912256,-80.236251,,,,,,0
134,95ST17AS,NW 17 AV @ NW 95 ST,,25.86151,-80.22604,,,,,,0
135,17AV79SS,NW 17 AV @ NW 79 ST,,25.84686,-80.22548,,,,,,0
136,EARLHGTT,EARLINGTON HEIGHTS METRORAIL STATION,EARLINGTON HGTS STA & 2100 NW 41 ST,25.812707,-80.229885,,,,,,0
137,17AV36SS,NW 17 AV & 36 ST,NW 17 AV & NW 36 ST,25.80978,-80.223974,,,,,,0
138,29ST18AS,NW 18 AV & 29 ST,NW 18 AV & NW 29 ST,25.803481,-80.225715,,,,,,0
139,17AVFLAS,NW 17 AV & W FLAGLER ST,,25.773628,-80.223022,,,,,,0
140,17AVFLAN,NW 17 AV & W FLAGLER ST,,25.773552,-80.222727,,,,,,0
142,17AV36SN,NW 17 AV & 36 ST,NW 17 AV & NW 36 ST,25.809777,-80.223794,,,,,,0
144,17AV79SN,NW 17 AV @ NW 79 ST,,25.84615,-80.22527,,,,,,0
146,7AVE105N,NW 7 AV & 106 ST,NW 7 AV & NW 106 ST,25.871767,-80.209871,,,,,,0
147,22AV151N,NW 22 AV & 151 ST,#N/A & #N/A,25.912502,-80.23595,,,,,,0
148,191S22AN,NW 22 AV & 191 ST,#N/A & #N/A,25.948292,-80.237577,,,,,,0
149,7AVE183N,NW 7 AV & 183 ST,NW 7 AV & NW 183 ST,25.943709,-80.213169,,,,,,0
151,160S27AS,NW 27 AV & NW 160 ST,,25.920436,-80.244615,,,,,,0
152,N.D.C.CT,MIAMI DADE COLLEGE NORTH CAMPUS,AT MDCC - NO & TERMINAL,25.876722,-80.245667,,,,,,0
154,160S27AN,NW 27 AV & NW 160 ST,,25.920707,-80.244293,,,,,,0
155,165S25AN,NW 25 AV & 165 ST,NW 25 AV & NW 165 ST,25.924941,-80.241563,,,,,,0
156,GOLDGLAT,GOLDEN GLADES P&R (WEST LOT),Golden Glades P&R & (West lot),25.921135,-80.2146,,,,,,0
157,167S17AS,NW 17 AV & 166 ST,NW 17 AV & NW 166 ST,25.925718,-80.22848,,,,,,0
158,22AV135S,NW 22 AV & OPA-LOCKA BLVD,NW 22 AV & OPA LOCKA BD,25.898834,-80.235673,,,,,,0
159,22AV79SS,NW 22 AV & 79 ST,NW 22 AV & NW 79 ST,25.84591,-80.233704,,,,,,0
160,22AV36SS,NW 22 AV & 36 ST,NW 22 AV & NW 36 ST,25.809641,-80.232144,,,,,,0
161,10AV17SS,SW 17 AV & SW 10 ST,,25.763643,-80.22254,,,,,,0
162,SNTACLRT,SANTA CLARA STA & 2050 NW 12 AV,NW 12 AVE & SANTA CLARA STA,25.795801,-80.216078,,,,,,0
163,22AVFLAS,NW 22 AV & W FLAGLER ST,,25.772987,-80.231055,,,,,,0
164,CRAL-WAS,SW 22 AV & CORAL WAY,,25.750803,-80.230215,,,,,,0
166,DGLSROAT,DOUGLAS ROAD METRORAIL STATION,DOUGLAS RD STATION & 3100 SW 37 AV,25.732676,-80.254707,,,,,,0
169,CRAL-WAY,SW 22 AV & 22 ST,SW 22 AV & SW 22 ST,25.750403,-80.229996,,,,,,0
170,22AVFLAN,SW 22 AV & W FLAGLER ST,,25.772297,-80.23084,,,,,,0
172,22AV36SN,NW 22 AV & 36 ST,NW 22 AV & NW 36 ST,25.809669,-80.231941,,,,,,0
173,22AV79SN,NW 22 AV @ NW 78 ST,,25.84581,-80.23342,,,,,,0
174,22AV135N,NW 22 AV & 135 ST,NW 22 AV & NW 135 ST,25.897813,-80.235358,,,,,,0
175,167S17AN,NW 17 AV & 166 ST,NW 17 AV & NW 166 ST,25.925905,-80.228387,,,,,,0
177,137A26SE,SW 26 ST & 137 AV,SW 26 ST & SW 137 AV,25.743435,-80.415452,,,,,,0
178,122A26SS,SW 122 AV & 26 ST,SW 122 AV & SW 26 ST,25.744812,-80.392226,,,,,,0
179,24ST74AE,SW 24 ST @ SW 74 AV,,25.74795,-80.31522,,,,,,0
180,ANDALEJE,ANDALUSIA AV & LE JEUNE RD,,25.7484,-80.261981,,,,,,0
181,27AV22SE,SW 22 ST & 27 AV,SW 22 ST & SW 27 AV,25.750217,-80.237849,,,,,,0
184,SW1S1AVE,SW 1 ST & 1 AV,SW 1 ST & SW 1 AV,25.772895,-80.195614,,,,,,0
188,22ST27AW,SW 22 ST & 27 AV,SW 22 ST & SW 27 AV,25.750457,-80.238001,,,,,,0
