route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14456,11,4828844,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829054,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828845,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829055,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828846,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829056,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828847,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829057,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828848,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829058,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828849,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829059,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828850,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829060,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828851,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829061,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828852,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829062,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828853,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829063,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828854,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829064,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828855,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829065,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828856,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829066,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828857,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829067,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828858,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829068,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828859,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829069,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828860,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829070,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828861,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829071,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828862,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829072,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828863,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829073,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828864,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829074,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828865,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829075,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828866,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829076,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828867,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829077,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828868,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829078,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828869,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829079,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828870,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829080,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828871,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829081,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828872,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829082,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828873,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829083,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828874,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829084,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828875,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829085,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828876,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829086,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828877,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829087,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828878,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829088,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828879,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829089,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828880,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829090,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828881,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829091,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828882,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829092,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828883,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829093,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828884,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829094,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828885,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829095,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828886,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829096,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828887,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829097,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828888,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829098,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828889,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829099,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828890,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829100,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828891,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829101,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828892,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829102,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828893,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829103,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828894,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829104,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828895,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829105,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828896,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829106,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828897,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829107,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828898,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829108,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828899,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829109,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828900,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829110,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828901,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829111,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828902,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829112,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828903,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829113,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828904,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829114,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828905,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829115,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828906,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829116,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828907,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829117,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828908,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829118,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828909,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829119,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828910,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829120,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828911,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829121,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828912,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829122,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828913,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829123,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828914,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829124,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828915,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829125,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828916,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829126,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828917,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829127,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828918,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829128,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828919,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829129,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828920,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829130,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828921,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829131,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828922,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829132,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828923,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829133,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828924,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829134,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828925,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829135,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828926,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829136,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828927,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829137,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828928,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829138,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828929,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829139,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828930,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829140,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828931,DOWNTOWN,,0,1403224,123745,0,0
14456,11,4829141,DOWNTOWN,,0,1403222,123746,0,0
14456,11,4828932,DOWNTOWN,,0,1403217,123745,0,0
14456,11,4829142,DOWNTOWN,,0,1403219,123746,0,0
14456,11,4828933,DOWNTOWN,,0,1403221,123745,0,0
14456,11,4829143,DOWNTOWN,,0,1403223,123746,0,0
14456,11,4828934,DOWNTOWN,,0,1403225,123745,0,0
14456,11,4829144,DOWNTOWN,,0,1403220,123746,0,0
14456,11,4828935,DOWNTOWN,,0,1403218,123745,0,0
14456,11,4829145,DOWNTOWN,,0,1403224,123746,0,0
14456,11,4828936,DOWNTOWN,,0,1403222,123745,0,0
14456,11,4829146,DOWNTOWN,,0,1403217,123746,0,0
14456,11,4828937,DOWNTOWN,,0,1403219,123745,0,0
14456,11,4829147,DOWNTOWN,,0,1403221,123746,0,0
14456,11,4828938,DOWNTOWN,,0,1403223,123745,0,0
14456,11,4829148,DOWNTOWN,,0,1403225,123746,0,0
14456,11,4828939,DOWNTOWN,,0,1403220,123745,0,0
14456,11,4829149,DOWNTOWN,,0,1403218,123746,0,0
14456,11,4828940,DOWNTOWN,,0,1403224,123745,0,0
