stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
03B_1_S18,,STOP_03B_1_S18,,21.047548,105.923805,,,0,,,0,,
03B_1_S19,,STOP_03B_1_S19,,21.045561,105.924324,,,0,,,0,,
03B_2_S1,,STOP_03B_2_S1,,21.045561,105.924324,,,0,,,0,,
03B_2_S2,,STOP_03B_2_S2,,21.043633,105.925125,,,0,,,0,,
03B_2_S3,,STOP_03B_2_S3,,21.04715,105.919807,,,0,,,0,,
03B_2_S4,,STOP_03B_2_S4,,21.050066,105.918106,,,0,,,0,,
03B_2_S5,,STOP_03B_2_S5,,21.040516,105.90416,,,0,,,0,,
03B_2_S6,,STOP_03B_2_S6,,21.030283,105.898506,,,0,,,0,,
03B_2_S7,,STOP_03B_2_S7,,20.998117,105.866539,,,0,,,0,,
03B_2_S8,,STOP_03B_2_S8,,20.997066,105.863556,,,0,,,0,,
03B_2_S9,,STOP_03B_2_S9,,20.995968,105.860176,,,0,,,0,,
03B_2_S10,,STOP_03B_2_S10,,20.995531,105.855721,,,0,,,0,,
03B_2_S11,,STOP_03B_2_S11,,20.996033,105.850792,,,0,,,0,,
03B_2_S12,,STOP_03B_2_S12,,20.996597,105.846268,,,0,,,0,,
03B_2_S13,,STOP_03B_2_S13,,20.993433,105.840927,,,0,,,0,,
03B_2_S14,,STOP_03B_2_S14,,20.98785,105.84079,,,0,,,0,,
03B_2_S15,,STOP_03B_2_S15,,20.984484,105.840759,,,0,,,0,,
03B_2_S16,,STOP_03B_2_S16,,20.980635,105.840691,,,0,,,0,,
03B_2_S17,,STOP_03B_2_S17,,20.976517,105.840622,,,0,,,0,,
03B_2_S18,,STOP_03B_2_S18,,20.972034,105.840607,,,0,,,0,,
03B_2_S19,,STOP_03B_2_S19,,20.965128,105.841675,,,0,,,0,,
03B_2_S20,,STOP_03B_2_S20,,20.960314,105.842026,,,0,,,0,,
03B_2_S21,,STOP_03B_2_S21,,20.964901,105.842392,,,0,,,0,,
04_1_S1,,STOP_04_1_S1,,21.042898,105.848076,,,0,,,0,,
04_1_S2,,STOP_04_1_S2,,21.041683,105.849091,,,0,,,0,,
04_1_S3,,STOP_04_1_S3,,21.033716,105.854256,,,0,,,0,,
04_1_S4,,STOP_04_1_S4,,21.028366,105.855492,,,0,,,0,,
04_1_S5,,STOP_04_1_S5,,21.021633,105.857773,,,0,,,0,,
04_1_S6,,STOP_04_1_S6,,21.016684,105.858337,,,0,,,0,,
04_1_S7,,STOP_04_1_S7,,21.014151,105.859055,,,0,,,0,,
04_1_S8,,STOP_04_1_S8,,21.011837,105.859047,,,0,,,0,,
04_1_S9,,STOP_04_1_S9,,21.006968,105.860725,,,0,,,0,,
